id,bbox_n_yolo
000924cf-0f8d-42bd-9158-1af53881a557,"[[0.278906, 0.314063, 0.310937, 0.4], [0.651563, 0.319531, 0.334375, 0.407813]]"
0010f549-b242-4e94-87a8-57d79de215fc,"[[0.264844, 0.444531, 0.392188, 0.726562], [0.73125, 0.44375, 0.40625, 0.746875]]"
0022995a-45eb-4cfa-9a59-cd15f5196c64,"[[0.346875, 0.545312, 0.35, 0.825], [0.75, 0.548438, 0.35, 0.81875]]"
0025d2de-bd78-4d36-9f72-e15a5e22ca82,"[[0.367188, 0.446875, 0.296875, 0.759375], [0.704688, 0.467969, 0.290625, 0.804688]]"
00293de0-a530-41dc-9621-0b3def01d06d,"[[0.260156, 0.550781, 0.423438, 0.735938], [0.747656, 0.541406, 0.389062, 0.739062]]"
002c591d-df62-4e34-8eda-838c664430a9,"[[0.323437, 0.426563, 0.378125, 0.71875], [0.753906, 0.432031, 0.385937, 0.726562]]"
003d8fa0-6bf1-40ed-b54c-ac657f8495c5,"[[0.292187, 0.465625, 0.328125, 0.671875], [0.695312, 0.461719, 0.346875, 0.692187]]"
0053ee32-1e03-4dc2-a103-f46ad0448787,"[[0.242969, 0.577344, 0.414062, 0.745313], [0.705469, 0.557031, 0.398438, 0.754687]]"
005f5517-ab76-4b0d-8a26-f808d97171c4,"[[0.33125, 0.489063, 0.325, 0.678125], [0.767969, 0.4875, 0.364063, 0.7]]"
0088be53-27f2-4c30-882b-a73a3a5c8c71,"[[0.263281, 0.48125, 0.379688, 0.765625], [0.713281, 0.461719, 0.364063, 0.732812]]"
009482dc-3db5-48d4-8580-5c89c4f01334,"[[0.247656, 0.39375, 0.439063, 0.590625], [0.698438, 0.425781, 0.378125, 0.639062]]"
009eb222-eabc-4150-8121-d5a6d06b8ebf,"[[0.295312, 0.45625, 0.309375, 0.640625], [0.709375, 0.436719, 0.39375, 0.651563]]"
00a85be6-6eb0-421d-8acf-ff2dc0007e8a,"[[0.286719, 0.559375, 0.420312, 0.765625], [0.750781, 0.5375, 0.379688, 0.753125]]"
00dd08bb-b7ea-4617-801e-02b3051c3475,"[[0.301563, 0.476562, 0.403125, 0.71875], [0.78125, 0.4625, 0.40625, 0.690625]]"
00ddefb9-d94e-4e86-b945-970be30483d7,"[[0.301563, 0.550781, 0.371875, 0.892188], [0.759375, 0.541406, 0.375, 0.907813]]"
00ec0d87-8e2a-44bd-b79c-4b91cfabcacf,"[[0.275781, 0.46875, 0.382812, 0.828125], [0.725, 0.455469, 0.36875, 0.820312]]"
00f2de16-a231-40c3-9a5f-8198f530a4b0,"[[0.305469, 0.464844, 0.382812, 0.714063], [0.73125, 0.453906, 0.378125, 0.707812]]"
00f87de5-5fe0-4921-93ea-914d7e683266,"[[0.334375, 0.527344, 0.33125, 0.682813], [0.714063, 0.542188, 0.315625, 0.7125]]"
00fcc4f0-d7b5-4473-99a9-aa7d3ca071c9,"[[0.346875, 0.492969, 0.3375, 0.648438], [0.734375, 0.503125, 0.3375, 0.703125]]"
01027bc3-dc40-4165-a6c3-d6be2cb7ca34,"[[0.322656, 0.460938, 0.357812, 0.6625], [0.709375, 0.471094, 0.33125, 0.717187]]"
0103fadb-1663-40a6-8a9e-09d626cd2091,"[[0.711719, 0.422656, 0.382812, 0.735938], [0.302344, 0.390625, 0.354687, 0.703125]]"
0124882b-de2f-4023-985f-debb74aa6ebb,"[[0.325, 0.499219, 0.35625, 0.839063], [0.694531, 0.524219, 0.314063, 0.860938]]"
0135d3e6-15d6-4491-a263-0bac7b7c2b47,"[[0.70625, 0.400781, 0.375, 0.623437], [0.3, 0.417969, 0.353125, 0.642188]]"
014c6a19-38e2-4e7f-8f14-dd4f0a4582e4,"[[0.245312, 0.503125, 0.378125, 0.709375], [0.664844, 0.517969, 0.385937, 0.776563]]"
017c7b5b-618e-4bc9-943c-04c6a988d992,"[[0.310937, 0.528906, 0.340625, 0.779687], [0.739062, 0.514844, 0.353125, 0.760938]]"
019ca122-9cdf-4704-b7a9-449c8a1c263e,"[[0.182812, 0.542188, 0.321875, 0.790625], [0.571094, 0.500781, 0.339062, 0.714063]]"
01a4059c-22f7-4f51-8a27-50aff0b3aeb3,"[[0.328125, 0.4875, 0.34375, 0.809375], [0.711719, 0.485938, 0.314063, 0.846875]]"
01aad2a6-3b93-45e3-bf37-2d73348cb6fc,"[[0.300781, 0.491406, 0.345313, 0.745313], [0.678906, 0.515625, 0.314063, 0.784375]]"
01b15f07-1149-4ff8-9756-bc821e41b97c,"[[0.270313, 0.448437, 0.378125, 0.5875], [0.696094, 0.461719, 0.348438, 0.620313]]"
01be3fe5-4a91-4c57-9af6-305966a7d0aa,"[[0.263281, 0.465625, 0.407813, 0.796875], [0.720313, 0.467187, 0.371875, 0.78125]]"
01c0b605-0a82-401b-9649-81252304ac45,"[[0.301563, 0.5125, 0.396875, 0.88125], [0.735938, 0.524219, 0.328125, 0.860938]]"
01cc7c75-4498-43ab-b650-5553d0507f76,"[[0.315625, 0.436719, 0.375, 0.629687], [0.742188, 0.434375, 0.35625, 0.646875]]"
01e4fd43-4f2c-421f-bd68-c756dceb5742,"[[0.296094, 0.479687, 0.398438, 0.64375], [0.723437, 0.51875, 0.384375, 0.696875]]"
01ef1712-90a6-4946-ad86-fc76b0cf2d3b,"[[0.282813, 0.366406, 0.315625, 0.523438], [0.647656, 0.40625, 0.323437, 0.55]]"
01f0d9cc-f69e-471a-987a-be73a36e18cc,"[[0.355469, 0.433594, 0.295312, 0.626563], [0.703906, 0.458594, 0.285938, 0.654687]]"
01f0f4bf-e678-430e-b43d-2968e2c4976c,"[[0.232813, 0.471875, 0.390625, 0.884375], [0.700781, 0.515625, 0.357812, 0.884375]]"
01f11e57-5c11-4ab0-9312-d88c3826721c,"[[0.308594, 0.391406, 0.385937, 0.745313], [0.7, 0.40625, 0.30625, 0.759375]]"
01f4cd36-caa1-480f-9d8c-92e80cf7b197,"[[0.35625, 0.407031, 0.3375, 0.695312], [0.725781, 0.423438, 0.307812, 0.71875]]"
01fe92f7-ff87-4f9e-9077-e00e670d1b47,"[[0.307031, 0.56875, 0.454688, 0.7625], [0.748437, 0.585938, 0.31875, 0.796875]]"
020fb648-3b1e-404a-a0b4-f25d6b277c1a,"[[0.285156, 0.538281, 0.351562, 0.648438], [0.684375, 0.513281, 0.36875, 0.664062]]"
02242633-faa0-4927-81de-b2b44940068a,"[[0.270313, 0.490625, 0.378125, 0.634375], [0.69375, 0.476562, 0.375, 0.628125]]"
022b7bbd-963b-49ea-afd7-b6b7986da555,"[[0.282813, 0.485156, 0.384375, 0.857812], [0.721875, 0.447656, 0.38125, 0.789062]]"
02336c62-4e72-4818-8198-c327096a71e0,"[[0.267188, 0.439063, 0.340625, 0.75625], [0.610156, 0.4625, 0.276562, 0.784375]]"
